SYST_TRAJ_ID,FLPL_CALL_SIGN,FLPL_NUMB,FLPL_AIRC_TYPE,REQS_FLGT_LEVL,FLPL_DEPR_AIRP,FLPL_ARRV_AIRP,TRANSIT,MODES_ADRESS,FILE_DATE,frontiere_algerienne,premier_plot
202403210000204,THY4JD,568323.0,B789,,LTFM,KMIA,,4960658.0,20240321,False,0114
202403210000653,RYR6XW,613028.0,B738,,LIRP,GCTS,,5054958.0,20240321,False,0511
202403210001601,DLH6RL,610872.0,A320,,LHBP,EDDF,,3958618.0,20240321,False,0634
202403210002421,EZY54FL,601339.0,A20N,,EGGD,LEPA,,4224182.0,20240321,False,0725
202403210006396,MODEA_7463,,,,,,,,20240321,False,0955
202403210008346,ECNOX,627196.0,C525,,LEBB,LEBZ,,3436825.0,20240321,False,1057
202403210009423,WUK8589,605603.0,A21N,,EGKK,HEGN,,4227137.0,20240321,False,1135
202403210010851,BAW577,607993.0,A320,,LIMC,EGLL,,4196805.0,20240321,False,1227
202403210011439,T7JMM,,,,,,,5243667.0,20240321,False,1247
202403210012062,EWG69K,615080.0,A320,,EDDL,LSZH,,3954418.0,20240321,False,1306
202403210012361,BTI8EP,610404.0,BCS3,,EVRA,LEMD,,5254414.0,20240321,False,1316
202403210012965,MODEA_7000,,,,,,,,20240321,False,1333
202403210015153,AFR1889,608495.0,A319,,LROP,LFPG,,3753194.0,20240321,False,1433
202403210015667,FBUER,,,,,,,3690641.0,20240321,False,1448
202403210016342,FGMQA,,,,,,,3748352.0,20240321,False,1507
202403210021165,N56PV,,,,,,,10954218.0,20240321,False,1804
202403210021684,RYR223N,608937.0,B738,,LIMF,LIRN,,5054984.0,20240321,False,1835
202403210021814,SWT8169,631416.0,AT43,,LEPA,LEBL,,3416277.0,20240321,False,1844
202403210022293,KAL908,631531.0,B77W,,EGLL,RKSI,,7454727.0,20240321,False,1915
202403210022319,DLH920,613190.0,A20N,,EDDF,EGLL,,3958214.0,20240321,False,1916
202403210023497,KLM39S,,,,,,,4741233.0,20240321,False,2032
202403210023911,CCM20XQ,658841.0,AT76,,LFKB,LFMN,,3792192.0,20240321,False,2109
