Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2
72162,F,751,FACT,EHAM,KLM104   ,Z,B77W   ,Z  ,PHBVD    ,,240316,AA56942412,,,,,,,,
72177,F,554,DXXX,LFPG,AFR861   ,Z,B772   ,Z  ,FGSPA    ,,240316,AA56944750,,,,,,,,
72213,F,331,LFPG,OMDW,FDX5124  ,Z,B77L   ,Z  ,N880FD   ,,240316,AA56944837,,,,,,,,
72226,F,1253,HKJK,EBLG,ABD335   ,Z,B744   ,Z  ,TFAKD    ,,240316,AA56950466,,,,,,,,
72235,F,448,LFBD,EBCI,RYR94FF  ,Z,B738   ,Z  ,9HQCJ    ,,240316,AA56946356,,,,,,,,
72252,F,512,LFSB,LFMN,EZS298U  ,Z,A320   ,Z  ,HBJZZ    ,,240316,AA56939363,,,,,,,,
72253,F,516,LFPG,LLBG,FPO213   ,Z,B738   ,Z  ,FHIQG    ,,240316,AA56949149,,,,,,,,
72257,F,510,LFBO,EHAM,KLM58L   ,Z,E190   ,Z  ,PHEZW    ,,240316,AA56939177,,,,,,,,
72259,F,509,LFBD,EHAM,KLM76A   ,Z,E295   ,Z  ,PHNXK    ,,240316,AA56939171,,,,,,,,
72266,F,522,LFOB,LBSF,RYR6MB   ,Z,B738   ,Z  ,EIEVN    ,,240316,AA56946860,,,,,,,,
72269,F,517,LFOB,OJAI,RYR9352  ,Z,B38M   ,Z  ,9HVUY    ,,240316,AA56946714,,,,,,,,
72280,F,521,LFQQ,GCRR,VOE27RQ  ,Z,A320   ,Z  ,ECNUP    ,,240316,AA56941150,,,,,,,,
72289,F,520,LFPG,EDDM,DLH08P   ,Z,A320   ,Z  ,DAIWG    ,,240316,AA56950866,,,,,,,,
72294,F,527,LFPG,LIRF,ITY317   ,Z,A21N   ,Z  ,EIHXB    ,,240316,AA56946805,,,,,,,,
72295,F,522,LFRS,EHAM,KLM1454  ,Z,E295   ,Z  ,PHNXN    ,,240316,AA56939381,,,,,,,,
72318,F,531,LFPO,LKPR,TVF13MJ  ,Z,B738   ,Z  ,FHTVL    ,,240316,AA56941493,,,,,,,,
72319,F,557,LFST,GCRR,VOE21XJ  ,Z,A320   ,Z  ,ECMBK    ,,240316,AA56941453,,,,,,,,
72323,F,522,LFSB,EHAM,EZS91BZ  ,Z,A320   ,Z  ,HBJXP    ,,240316,AA56940078,,,,,,,,
72335,F,541,LFSB,GMMX,EZS94BK  ,Z,A20N   ,Z  ,HBAYQ    ,,240316,AA56946332,,,,,,,,
72337,F,545,LFMN,EHAM,KLM10Z   ,Z,E295   ,Z  ,PHNXE    ,,240316,AA56939701,,,,,,,,
72338,F,554,LFML,EHAM,KLM1264  ,Z,E295   ,Z  ,PHNXS    ,,240316,AA56939675,,,,,,,,
72351,F,607,LFPG,ZSPD,CMA630   ,Z,B77L   ,Z  ,FHMRB    ,,240316,AA56950146,,,,,,,,
72363,F,558,LFML,EBBR,BEL1PD   ,Z,A319   ,Z  ,OOSSV    ,,240316,AA56945049,,,,,,,,
72365,F,600,LFSB,LEAL,EZS40QU  ,Z,A320   ,Z  ,HBJXR    ,,240316,AA56940080,,,,,,,,
