compare	Code_1	Code_2	Time of departure/entry_1	Time of departure/entry_2	Departure aerodrome_1	Departure aerodrome_2	Arrival aerodrome_1	Arrival aerodrome_2	Flight identification_1	Flight identification_2	Main Exemption code_1	Main Exemption code_2	Type of aircraft_1	Type of aircraft_2	Operator_1	Operator_2	Aircraft Registration_1	Aircraft Registration_2	Comment1_1	Comment1_2	Flight date_1	Flight date_2	IFPLID_1	IFPLID_2	Planned_aerodrome_1	Planned_aerodrome_2	Charging_zone_overflow_1	Charging_zone_overflow_2	Entry_point_1	Entry_point_2	Exit_point_1	Exit_point_2	Sup_exemption_code_1	Sup_exemption_code_2	Source of the Aircraft Address_1	Source of the Aircraft Address_2	24-bit Aircraft Address_1	24-bit Aircraft Address_2	Comment2_1	Comment2_2
0	F	F	814	814	LFPG	LFPG	LHBP	LHBP	AFR71SP  	AFR71SP  	Z	Z	A319   	A319   	Z  	Z  	FGRXF    	FGRXF    			240316	240316	AA56951078	AA56951078												1.0		3946E5		
0	F	F	813	813	LFPB	LFPB	EGNR	EGNR	CNTME    	CNTME    	Z	Z	LJ45   	LJ45   	Z  	Z  	CNTME    	CNTME    			240316	240316	AA56952349	AA56952349												1.0		020183		
0	F	F	837	837	LFOB	LFOB	LKPR	LKPR	RYR2JF   	RYR2JF   	Z	Z	B738   	B738   	Z  	Z  	SPRKT    	SPRKT    			240316	240316	AA56947967	AA56947967												1.0		48C132		
0	F	F	827	827	LFPG	LFPG	KSFO	KSFO	UAL984   	UAL984   	Z	Z	B772   	B772   	Z  	Z  	N787U    	N787UA   			240316	240316	AA56950810	AA56950810												1.0		AAAC4A		
0	F	F	851	851	LFST	LFST	LFMN	LFMN	VOE27XC  	VOE27XC  	Z	Z	A320   	A320   	Z  	Z  	ECNNY    	ECNNY    			240316	240316	AA56944196	AA56944196												1.0		3465D9		
0	F	F	820	820	LFLS	LFLS	EGGW	EGGW	WUK59DX  	WUK59DX  	Z	Z	A21N   	A21N   	Z  	Z  	GWUNC    	GWUNC    			240316	240316	AA56942157	AA56942157												1.0		40804E		
0	F	F	823	823	LFPG	LFPG	LFSB	LFSB	AFR58YK  	AFR58YK  	Z	Z	E190   	E190   	Z  	Z  	FHBLE    	FHBLE    			240316	240316	AA56931556	AA56931556												1.0		398564		
0	F	F	851	851	LFPG	LFPG	EHAM	EHAM	KLM24P   	KLM24P   	Z	Z	B738   	B738   	Z  	Z  	PHBCE    	PHBCE    			240316	240316	AA56950682	AA56950682												1.0		484FDF		
0	F	F	956	956	DABC	DABC	LFST	LFST	DTH3024  	DTH3024  	Z	Z	B738   	B738   	Z  	Z  	7TVCT    	7TVCT    			240316	240316	AA56905611	AA56905611												1.0		0A009C		
0	F	F	828	828	LFOB	LFOB	LROP	LROP	WMT6501  	WMT6501  	Z	Z	A321   	A321   	Z  	Z  	HALXB    	HALXB    			240316	240316	AA56942534	AA56942534												1.0		471F63		
0	F	F	838	838	LFLL	LFLL	EGKK	EGKK	WUK263   	WUK263   	Z	Z	A21N   	A21N   	Z  	Z  	GWUNA    	GWUNA    			240316	240316	AA56942350	AA56942350												1.0		408041		
0	F	F	825	825	LFPG	LFPG	LOWW	LOWW	AFR14PR  	AFR14PR  	Z	Z	A320   	A320   	Z  	Z  	FGKXV    	FGKXV    			240316	240316	AA56951297	AA56951297												1.0		392AF5		
0	F	F	851	851	LFOB	LFOB	LIRN	LIRN	RYR7166  	RYR7166  	Z	Z	B738   	B738   	Z  	Z  	9HQCP    	9HQCP    			240316	240316	AA56947732	AA56947732												1.0		4D2243		
0	F	F	825	825	LFPG	LFPG	LIML	LIML	SIO615   	SIO615   	Z	Z	F2TH   	F2TH   	Z  	Z  	IFEDN    	IFEDN    			240316	240316	AA56939629	AA56939629												1.0		3003F5		
0	F	F	804	804	LFOB	LFOB	LRCL	LRCL	WMT841   	WMT841   	Z	Z	A320   	A320   	Z  	Z  	9HWZU    	9HWZU    			240316	240316	AA56942562	AA56942562												1.0		4D24C3		
