Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2,case7,case8,case9,case10,case13,case15,case16,case18,ccrArrival,front_alg_fr,premier_plot_fr,modes_fr,Type_Avion_Survol
12135,F,1055,LFMN,EHAM,NJE223A  ,Z,C68A   ,Z  ,CSLTW    ,,240321,AA57086590,,,,,,,493297,,NJE223A,IN ,C68A/M,SBDE2E3FGHJ1M3RWXY/LB2 ,LFMN1100 ,N0426F430 IRMAR DCT KINES DCT VANAS DCT MOBLO DCT UBIMA DCT GILIR DCT PENDU DCT IXILU DCT GIVOR DCT SORAL DCT IBERA DCT RITAX M624 BUB Y28 HELEN ,EHAM0136 EHRD ,"CODE/493297 DOF/240321 EET/LIMM0018 LFFF0020 LSAS0032 LFFF0035 EBUR0101 EHAA0122 EBUR0122 EHAA0122 IFP/MODESASP OPR/NJE ORGN/LPPTNJEW PER/B REG/CSLTW RMK/SATCOM 881652402097 SEL/DGQS)
",NICE,False,1057.0,493297,C68A
12141,F,1543,LFMN,EGNR,NJE298W  ,Z,E55P   ,Z  ,CSPHU    ,,240321,AA57102499,,,,,,,494115,,NJE298W,IN ,E55P/M,SBFGJ1RUWXY/HB1 ,LFMN1505 ,N0397F400 BADOD UZ12 NEDRU/N0398F430 UZ12 BULOL UM733 IDAVO DCT BAGBI DCT SIZZA UM733 KOPOR UY376 VESAN UL613 SOVAT L613 SANDY UN57 WELIN T420 ELVOS ,EGNR0211 EGCC ,"CODE/494115 DOF/240321 EET/EGTT0129 OPR/NJE ORGN/LPPTNJEW PER/B REG/CSPHU RMK/ASLLFMND000022075 SATCOM 881652401719)
",NICE,False,1507.0,494115,E55P
12145,F,1633,LFBZ,LSGS,NJE360G  ,Z,E55P   ,Z  ,CSPHS    ,,240321,AA57105225,,,,,,,494113,,NJE360G,IN ,E55P/M,SBFGJ1RUWXY/HB1 ,LFBZ1620 ,N0403F330 SOVOS G17 ORTEZ DCT TBO/N0401F340 DCT GONUP DCT TOU DCT GAI DCT MEN DCT NINUN UN871 LTP/N0420F260 UN871 SOPLO/N0420F260 UN871 OMASI N871 KINNI Z67 VENAT Y223 VALOR/N0420F250 ,LSGS0127 LFSB ,"CODE/494113 DOF/240321 EET/LSAS0112 LFFF0112 LSAS0112 OPR/NJE ORGN/LISNM1I PER/B REG/CSPHS RMK/SATCOM 881652437233)
",PYRN,False,1632.0,494113,E55P
12151,F,1638,LFMN,LFPB,NJE465F  ,Z,GLEX   ,Z  ,CSGLE    ,,240321,AA57104322,,,,,,,491D85,,NJE465F,IN ,GLEX/M,SDE2E3FGHIJ1J3J4J5M1M3RWXYZ/LB1D1 ,LFMN1535 ,N0487F340 OKTET UM733 GIPNO UT26 LOGNI DCT MOKIP DCT ARFOZ UN854 DJL ,LFPB0101 LFQQ ,"CODE/491D85 DAT/1FANSP2PDC DOF/240321 IFP/MODESASP NAV/RNP2 OPR/NJE ORGN/LISNM1I PER/C REG/CSGLE RMK/ASLLFMND000022045 SATCOM 16025602671 LFPB HANDLER JETEX SEL/CSAM SUR/260B)
",NICE,False,1545.0,491D85,GLEX
12156,F,838,LFPB,LSZS,NJE5BF   ,Z,E55P   ,Z  ,CSPHF    ,,240321,AA57084671,,,,,,,494106,,NJE5BF,IN ,E55P/M,SBFGJ1RUWXY/HB1 ,LFPB0830 ,N0444F330 LANVI/N0446F310 DCT DEVDI DCT RIPUS/N0442F290 N850 SOSON/N0414F240 Z119 PELAD DCT ,LSZS0052 LFSB LIME ,"CODE/494106 DOF/240321 EET/EDUU0031 LSAS0033 OPR/NJE ORGN/LPPTNJEW PER/B REG/CSPHF RMK/SATCOM 881623480053)
",CDG,False,838.0,494106,E55P
12157,F,841,LFPB,EGHI,NJE5EG   ,Z,E55P   ,Z  ,CSPHX    ,,240321,AA57085021,,,,,,,494118,,NJE5EG,IN ,E55P/M,SBFGJ1RUWXY/HB1 ,LFPB0830 ,N0414F240 OPALE/N0428F260 UT421 KUNAV/N0413F240 N20 ELDAX ,EGHI0038 EGBB EGSS ,"CODE/494118 DOF/240321 EET/EGTT0020 OPR/NJE ORGN/LPPTNJEW PER/B REG/CSPHX RMK/SATCOM 00881652423426)
",CDG,False,841.0,494118,E55P
12158,F,1159,LFPB,LFMN,NJE600A  ,Z,GLEX   ,Z  ,CSGLE    ,,240321,AA57096542,,,,,,,491D85,,NJE600A,IN ,GLEX/M,SDE2E3FGHIJ1J3J4J5M1M3RWXYZ/LB1D1 ,LFPB1130 ,N0475F350 LATRA DCT LAMUT DCT UTUVA DCT LERGA DCT LIQID UY30 LATAM UY22 NISAR ,LFMN0058 LFML ,"CODE/491D85 DAT/1FANSP2PDC DOF/240321 IFP/MODESASP NAV/RNP2 OPR/NJE ORGN/LPPTNJEW PER/C REG/CSGLE RMK/SATCOM 16025602671 ASLLFMNA000022044 SEL/CSAM SUR/260B)
",CDG,False,1159.0,491D85,GLEX
12160,F,833,LFPB,LPPT,NJE610M  ,Z,C68A   ,Z  ,CSLTH    ,,240321,AA57084104,,,,,,,493288,,NJE610M,IN ,C68A/M,SBDE2E3FGHJ1M3RWXY/LB2 ,LFPB0820 ,N0429F410 AGOPA DCT ARKIP DCT ARMAL DCT ARTAX DCT BEBIX DCT LMG DCT UVELI DCT OSMOB DCT VAVIX DCT BTZ DCT URUNA DCT SSN DCT VRA DCT NEA DCT ZMR DCT ARDID DCT NINOS DCT BABEX DCT VIS DCT ABETO DCT INBOM ,LPPT0208 LPFR ,"CODE/493288 DOF/240321 EET/LECM0058 LPPC0133 OPR/NJE ORGN/LPPTNJEW PER/B REG/CSLTH RMK/SATCOM 881631403741 SEL/LRDS)
",CDG,False,833.0,493288,C68A
12162,F,1436,LFPB,EGGW,NJE662Q  ,Z,CL35   ,Z  ,CSCHJ    ,,240321,AA57099026,,,,,,,490D0A,,NJE662Q,IN ,CL35/M,SBDE2E3FGHIJ1J3J4J5RWXYZ/HB1D1 ,LFPB1420 ,N0292F100 DCT EGOZE N57 DET ,EGGW0058 EGBB ,"CODE/490D0A DAT/1FANSP2PDC DOF/240321 EET/EGTT0028 OPR/NJE ORGN/LPPTNJEW PER/C REG/CSCHJ RMK/SATCOM 16026095715 OPS 00351214469090 SEL/GJBL)
",CDG,False,1435.0,490D0A,CL35
12165,F,900,LFMD,LFMN,NJE749A  ,Z,C68A   ,Z  ,CSLTW    ,,240321,AA57086600,,,,,,,493297,,NJE749A,IN ,C68A/M,SBDE2E3FGHJ1M3RWXY/LB2 ,LFMD0900 ,N0219F070 DCT DIMAD DCT ,LFMN0011 LFML ,"CODE/493297 DOF/240321 IFP/MODESASP OPR/NJE ORGN/LPPTNJEW PER/B REG/CSLTW RMK/SATCOM 881652402097 SEL/DGQS TALT/LFMN)
",NICE,False,906.0,493297,C68A
