FLPL_CALL_SIGN,FLPL_AIRC_TYPE,FLPL_DEPR_AIRP,FLPL_ARRV_AIRP,MODES_ADRESS,FILE_DATE,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Type of aircraft,Main Exemption code,Aircraft Registration,IFPLID,Mode S,Type Avion Survol
ITY803,A320,DAAG,LIRF,4CA8DC,2024-03-18,500.0,DAAG,LIRF,A320,Z,EIIKL    ,AA56994995,,A320
FMY88C7,AS55,LFLY,LFMV,3AABD0,2024-03-18,845.0,LFMC,LFMV,AS55,M,FMAYG    ,AA56933243,4CA900,AS55
FMY88C7,AS55,LFLY,LFMV,3AABD0,2024-03-18,1514.0,LFMV,LFMC,AS55,M,FMAYG    ,AA56934533,,AS55
FMY88C7,AS55,LFMC,LFMV,3AABD0,2024-03-18,845.0,LFMC,LFMV,AS55,M,FMAYG    ,AA56933243,4CA900,AS55
FMY88C7,AS55,LFMC,LFMV,3AABD0,2024-03-18,1514.0,LFMV,LFMC,AS55,M,FMAYG    ,AA56934533,,AS55
VLG6QK,A20N,LFPG,LEBL,346184,2024-03-18,1739.0,LFPG,LEBL,A320,Z,ECMES    ,AA57007599,344693,A20N
NOS1857,B38M,GOBD,LIRF,4CA961,2024-03-18,2354.0,GOBD,LIRF,B38M,Z,EIRZC    ,AA57016050,,B38M
WZZ21WY,A21N,GMMX,EPWA,471F3C,2024-03-18,1914.0,GMMX,EPWA,A21N,Z,HALVO    ,AA57009458,,A21N
FDX5277,B77L,OMDW,LFPG,AB87C8,2024-03-18,1959.0,LFPG,KMEM,B77L,Z,N860FD   ,AA57020879,ABCF58,B77L
DLH577,A343,FACT,EDDF,3C64FA,2024-03-18,301.0,FACT,EDDF,A343,Z,DAIGZ    ,AA56992290,,A343
DLH577,A343,FACT,EDDF,3C64FA,2024-03-21,258.0,FACT,EDDF,A343,Z,DAIGZ    ,AA57073040,,A343
OCN133C,A333,FYWH,EDDF,3C6563,2024-03-19,206.0,FYWH,EDDF,A333,Z,DAIKC    ,AA57019792,,A333
FMEBR,NH90,LFSB,LFST,3AAAB7,2024-03-19,1550.0,LFST,LFQP,NH90,M,1443     ,AA57041498,440C83,NH90
FMEBR,,,,3AAAB7,2024-03-19,1550.0,LFST,LFQP,NH90,M,1443     ,AA57041498,440C83,NH90
FMEBR,,,,3AAAB7,2024-03-19,1550.0,LFST,LFQP,NH90,M,1443     ,AA57041498,440C83,NH90
FMEBR,,,,3AAAB7,2024-03-19,1550.0,LFST,LFQP,NH90,M,1443     ,AA57041498,440C83,NH90
FMEBR,,,,3AAAB7,2024-03-19,1550.0,LFST,LFQP,NH90,M,1443     ,AA57041498,440C83,NH90
FWI606,A359,LFPO,MDPC,0200FB,2024-03-19,1120.0,LFPO,MDPC,A359,Z,FHTRE    ,AA57033171,39CE24,B738
