compare	Code_1	Code_2	Time of departure/entry_1	Time of departure/entry_2	Departure aerodrome_1	Departure aerodrome_2	Arrival aerodrome_1	Arrival aerodrome_2	Flight identification_1	Flight identification_2	Main Exemption code_1	Main Exemption code_2	Type of aircraft_1	Type of aircraft_2	Operator_1	Operator_2	Aircraft Registration_1	Aircraft Registration_2	Comment1_1	Comment1_2	Flight date_1	Flight date_2	IFPLID_1	IFPLID_2	Planned_aerodrome_1	Planned_aerodrome_2	Charging_zone_overflow_1	Charging_zone_overflow_2	Entry_point_1	Entry_point_2	Exit_point_1	Exit_point_2	Sup_exemption_code_1	Sup_exemption_code_2	Source of the Aircraft Address_1	Source of the Aircraft Address_2	24-bit Aircraft Address_1	24-bit Aircraft Address_2	Comment2_1	Comment2_2
0	F	F	630	641	LFPG	LFPG	EGKK	EGKK	EJU8402  	EJU8402  	Z	Z	A320   	A320   	Z  	Z  	OEIZL    	OEIVN    			      	240316	AA56910855	AA56940701												1.0		4400B9		
0	F	F	604	438	LEMD	LEMD	EGSS	EGSS	RYR9GZ   	RYR9GZ   	Z	Z	B738   	B738   	Z  	Z  	EIDYD    	EIEFK    			      	240316	AA56918450	AA56946135												4.0		4CA766		
0	F	F	611	616	EHAM	EHAM	LFPG	LFPG	KLM23P   	KLM23P   	Z	Z	B738   	B738   	Z  	Z  	PHBXL    	PHBCE    			      	240316	AA56918949	AA56947776												1.0		484FDF		
0	F	F	616	606	LEBB	LEBB	EGKK	EGKK	VLG6305  	VLG6305  	Z	Z	A320   	A320   	Z  	Z  	ECLUN    	ECMBT    			      	240316	AA56915274	AA56944283												4.0		344501		
0	F	F	625	540	LKPR	LKPR	LFPG	LFPG	AFR58EN  	AFR58EN  	Z	Z	A320   	A320   	Z  	Z  	FHEPE    	FHEPG    			      	240316	AA56919108	AA56947938												3.0		3991E6		
0	F	F	616	719	EGKK	EGKK	LFPG	LFPG	EZY20KV  	EZY20KV  	Z	Z	A320   	A20N   	Z  	Z  	GEJCP    	GUZLT    			      	240316	AA56910456	AA56941161												3.0		408011		
0	F	F	630	624	EDDF	EDDF	LFPG	LFPG	AFR27NK  	AFR27NK  	Z	Z	E190   	E190   	Z  	Z  	FHBLO    	FHBLC    			      	240316	AA56898265	AA56946155												1.0		398562		
0	F	F	550	603	LFPO	LFPO	LFBO	LFBO	EJU781A  	EJU781A  	Z	Z	A320   	A320   	Z  	Z  	OEIJA    	OEINE    			      	240316	AA56910241	AA56940328												1.0		4401F7		
0	F	F	545	546	LFBT	LFBT	LFPO	LFPO	VOE21AA  	VOE21AA  	Z	Z	A319   	A319   	Z  	Z  	ECMTB    	ECMTB    			      	240316	AA56912277	AA56941879												1.0		3455D6		
0	F	F	630	656	LFPG	LFPG	EDDF	EDDF	AFR1518  	AFR1518  	Z	Z	E170   	E190   	Z  	Z  	FHBXB    	FHBLV    			      	240316	AA56898942	AA56928994												1.0		398575		
0	F	F	531	454	LEVC	LEVC	LFPG	LFPG	AFR41NC  	AFR41NC  	Z	Z	E190   	E190   	Z  	Z  	FHBLM    	FHBLH    			      	240316	AA56897866	AA56943513												4.0		398567		
0	F	F	628	445	LRCL	LRCL	LFOB	LFOB	WMT1XC   	WMT1XC   	Z	Z	A320   	A320   	Z  	Z  	HALYQ    	9HWZU    			      	240316	AA56908868	AA56939098												1.0		4D24C3		
0	F	F	630	640	LFPO	LFPO	LIML	LIML	ITY3OL   	ITY3OL   	Z	Z	A319   	A319   	Z  	Z  	EIIMW    	EIIMW    			      	240316	AA56915289	AA56946876												1.0		4CAAA8		
0	F	F	623	507	ESGG	ESGG	LFPG	LFPG	AFR94SF  	AFR94SF  	Z	Z	E190   	E190   	Z  	Z  	FHBLL    	FHBLE    			      	240316	AA56897872	AA56926431																
0	F	F	732	551	KMSP	KMSP	LFPG	LFPG	DAL152   	DAL152   	Z	Z	A339   	A339   	Z  	Z  	N407D    	N424DX   			      	240316	AA56915084	AA56944147												3.0		A50ADC		
0	F	F	607	529	LIRQ	LIRQ	LFPG	LFPG	AFR75BQ  	AFR75BQ  	Z	Z	A319   	A319   	Z  	Z  	FGRHV    	FGRHR    			      	240316	AA56918984	AA56947803												3.0		3944F1		
0	F	F	644	628	EDDM	EDDM	LFLL	LFLL	DLH64T   	DLH64T   	Z	Z	CRJ9   	CRJ9   	Z  	Z  	DACNA    	DACNA    			      	240316	AA56911165	AA56941418												1.0		3C4DC1		
0	F	F	552	623	KIAD	KIAD	LFPG	LFPG	AFR055   	AFR055   	Z	Z	B77W   	B77W   	Z  	Z  	FGSQA    	FGZNA    			      	240316	AA56915989	AA56946268												3.0		3965A0		
0	F	F	610	631	LFPG	LFPG	EIDW	EIDW	AFR1716  	AFR1716  	Z	Z	E190   	E190   	Z  	Z  	FHBLD    	FHBLB    			      	240316	AA56898246	AA56928175												1.0		398561		
0	F	F	620	631	LFRN	LFRN	LFPG	LFPG	AFR9465  	AFR9465  	Z	Z	E170   	E170   	Z  	Z  	FHBXJ    	FHBXG    			      	240316	AA56898485	AA56928159												1.0		3986E6		
0	F	F	630	655	LFPG	LFPG	EDDL	EDDL	AFR79ME  	AFR79ME  	Z	Z	E190   	E190   	Z  	Z  	FHBLJ    	FHBLM    			      	240316	AA56898953	AA56929002												1.0		39856C		
0	F	F	630	713	LFKB	LFKB	LFMN	LFMN	CCM58XQ  	CCM58XQ  	Z	Z	AT76   	AT76   	Z  	Z  	FHXKE    	FHXKU    			      	240316	AA56908147	AA56938576												1.0		39DD54		
0	F	F	530	520	LEMD	LEMD	LFPG	LFPG	AFR1401  	AFR1401  	Z	Z	A321   	A321   	Z  	Z  	FGTAM    	FGTAK    			      	240316	AA56918378	AA56947303												4.0		394C0A		
0	F	F	617	604	EGNX	EGNX	GCTS	GCTS	RYR67GM  	RYR67GM  	Z	Z	B38M   	B38M   	Z  	Z  	EIHET    	EIIGH    			      	240316	AA56919046	AA56948127												3.0		4CADBA		
0	F	F	616	615	LFBO	LFBO	EGLL	EGLL	BAW377   	BAW377   	Z	Z	A319   	A319   	Z  	Z  	GEUPR    	GEUPR    			      	240316	AA56908751	AA56939019												1.0		4008B2		
0	F	F	625	608	EGGD	EGGD	LEMG	LEMG	EZY90FA  	EZY90FA  	Z	Z	A21N   	A320   	Z  	Z  	GUZMJ    	GEZUA    			      	240316	AA56912760	AA56942245												3.0		40643C		
0	F	F	633	800	EGCC	EGCC	LSGG	LSGG	EZY14LC  	EZY14LC  	Z	Z	A320   	A20N   	Z  	Z  	GEZUW    	GUZHD    			      	240316	AA56910502	AA56941849												3.0		4073A1		
0	F	F	558	624	LFPG	LFPG	LEMD	LEMD	IBE3429  	IBE3429  	Z	Z	A20N   	A20N   	Z  	Z  	ECNTQ    	ECNCM    			      	240316	AA56923079	AA56951512												1.0		346147		
0	F	F	610	530	LIPE	LIPE	LFPG	LFPG	AFR55RA  	AFR55RA  	Z	Z	BCS3   	BCS3   	Z  	Z  	FHZUE    	FHPNG    			      	240316	AA56919128	AA56947952												3.0		39BDA6		
0	F	F	627	651	EGSS	EGSS	LFRS	LFRS	RYR25TW  	RYR25TW  	Z	Z	B38M   	B738   	Z  	Z  	EIIGK    	EIDCP    			      	240316	AA56920093	AA56949227												3.0		4CA246		
0	F	F	540	556	LFPO	LFPO	LPPT	LPPT	TAP439X  	TAP439X  	Z	Z	A321   	A21N   	Z  	Z  	CSTJF    	CSTXC    			      	240316	AA56912188	AA56941828												1.0		400771		
0	F	F	605	619	LFPG	LFPG	LEBL	LEBL	AFR38AN  	AFR38AN  	Z	Z	BCS3   	BCS3   	Z  	Z  	FHPND    	FHPNA    			      	240316	AA56920009	AA56948720												1.0		39BDA0		
0	F	F	624	529	LOWW	LOWW	LFPG	LFPG	AFR11XB  	AFR11XB  	Z	Z	A320   	A320   	Z  	Z  	FGKXH    	FHEPA    			      	240316	AA56918683	AA56947588												3.0		3991E0		
0	F	F	625	618	LIML	LIML	LFPG	LFPG	ITY300   	ITY300   	Z	Z	A319   	A320   	Z  	Z  	EIIMS    	EIDTH    			      	240316	AA56915325	AA56946981												3.0		4CA7D7		
0	F	F	600	611	LFPO	LFPO	LEBL	LEBL	VLG2CG   	VLG2CG   	Z	Z	A321   	A321   	Z  	Z  	ECMMH    	ECMMU    			      	240316	AA56915496	AA56944935												1.0		345249		
0	F	F	630	720	LFKJ	LFKJ	LFMN	LFMN	CCM90BI  	CCM90BI  	Z	Z	AT76   	AT76   	Z  	Z  	FHXKU    	FHXKI    			      	240316	AA56908151	AA56938565												1.0		39DD48		
0	F	F	617	546	LIRF	LIRF	LFPG	LFPG	AFR12EP  	AFR12EP  	Z	Z	A320   	A320   	Z  	Z  	FHEPK    	FHEPE    			      	240316	AA56918812	AA56947681												3.0		3991E4		
0	F	F	658	700	LFPG	LFPG	EGLL	EGLL	AFR1680  	AFR1680  	Z	Z	BCS3   	BCS3   	Z  	Z  	FHZUO    	FHPNF    			      	240316	AA56912117	AA56949463												1.0		39BDA5		
0	F	F	654	643	EGLL	EGLL	LPPT	LPPT	TAP63V   	TAP63V   	Z	Z	A20N   	A20N   	Z  	Z  	CSTVK    	CSTVD    			      	240316	AA56912626	AA56942136												3.0		4952C4		
0	F	F	624	620	EGKK	EGKK	LSGG	LSGG	EZY64LB  	EZY64LB  	Z	Z	A319   	A320   	Z  	Z  	GEZFW    	GEZWI    			      	240316	AA56910624	AA56940357												3.0		40690A		
0	F	F	605	502	LEMG	LEMG	LFPG	LFPG	AFR88ZQ  	AFR88ZQ  	Z	Z	A320   	A320   	Z  	Z  	FGKXN    	FHEPH    			      	240316	AA56918368	AA56947292												4.0		3991E7		
